,commands
770,"Hey, c'mon, Joey! Do you have to twist my arm?"
771,I don't tell you how to do your job. Okay?
772,"I could crush him like an ant, but it would be too easy. No, revenge is a dish best served cold. I'll bide my time until... Oh, what the hell. I'll just crush him like an ant."
773,"""Senile,"" eh? ""Buck-toothed,"" am I? ""Bony arms,"" are they? ""Liver spots,"" did I? ""Chinless,"" will you?"
774,"His pink slip awaits your signature, sir."
775,"Now, that's odd. I've just robbed a man of his livelihood, and yet I feel strangely empty. Tell you what, Smithers. Have him beaten to a pulp."
776,"But, sir --"
777,But what?
778,"Nothing, sir."
779,"Oh, I've never seen Mr. Burns this mad and he's always kinda mad."
780,Me and my big... letter writing pen!
781,"Honey, what's done is done. No matter what happens, we'll pull through. We always do."
782,"Okay, here's the plan. You can move in with your sisters and raise the kids. And I'll... die in a gutter. It's practical and within our means."
783,"That's okay, Bart. Nobody really believed it. We were just trying to scare you."
784,You know Homer Simpson?
785,"Yeah, nice guy. Play poker with him once in a while."
786,"Hmmm huh. We uh, need him beaten up."
787,You got it.
788,What is it?
789,"Ah, nothing."
790,"Beat, but don't kick."
791,Hold the kicks. Got it.
792,"Uh, um, umm..."
793,"Hey, what did Homie do anyway?"
794,He saved Mr. Burns' life!
795,"In closing, gentle reader, I'd like to thank you. What's that you say? Me thanking you? No, it's not a misprint. For you see, I enjoyed writing this book as much as you enjoyed reading it. The end."
796,"Ah Smithers, how'd the beating go?"
797,"Sir, uh... there was no beating."
798,What? Well that's a hell of a thing! Why?
799,Because... I... I called it off.
800,"I'm sorry, sir. But I just couldn't hurt Homer Simpson. He saved your life."
801,I see.
802,"I know you're mad at me, but I think it's only fair to warn you, I'm going to stand outside the gate until you forgive me."
803,"No need, Smithers. As usual, you've been the sober ""ying"" to my raging ""yang."" Put 'er there, old pal."
804,"Sir, while I wish this handshake would never end, I'm, I'm afraid we still have the Simpson matter to attend to."
805,"We do indeed, old friend. We do indeed."
806,Moe's Tavern. Where the elite meet to drink.
807,"Eh, yeah, hello, is Mike there? Last name, Rotch."
808,"Hold on, I'll check. Mike Rotch. Mike Rotch. Hey, has anybody seen Mike Rotch, lately?"
809,"Listen you little puke. One of these days I'm gonna catch you, and I'm gonna carve my name on your back with an ice pick."
810,What's the matter Homer? You're not your normal effervescent self.
811,"I got my problems, Moe. Give me another one."
812,"hey, you should not drink to forget your problems."
813,"Yeah, you should only drink to enhance your social skills."
814,"We'll get the Simpsons a present, an extravagant present! A mad, unthinkable, utterly impossible present! A frabulous, grabulous, zip-zoop-zabulous present!"
815,"Ooo, too practical."
816,Too cutesy-poo.
817,Too cornball.
818,A pool table? Are you mad? I'm not gonna turn his home into a saloon.
819,Eureka! We've found it!
820,"B-but, sir... it's thirty-two thousand dollars."
821,Don't you dare sully this moment with your price taggery! It's perfect!
822,"Oh, woe is me."
823,"Oh, my! It's Mr. Burns."
824,Heave-ho! Heave-ho! Heave-ho! Heave-ho! Heave-ho!
825,"Wait, Dad, he's smiling."
826,"Mr. Burns, you brought us a present."
827,"Why, what did you think I was going to do -- have you beaten to a bloody pulp?"
828,"To show there's no hard feelings, please take an advance copy of my book, ""Will There Ever Be A Rainbow?"" And now, young fellow, I haven't forgotten you. Here."
829,Wow! A crowbar!
830,"It's to open the crate, stupid."
831,"What did I tell you? I'll bet it's filled with diamonds, rubies, sapphires, pearls..."
832,Wow! A big ugly head!
833,"Actually, son, it's a big, ugly Olmec Indian head. It was carved by Meso-American Indians over 3,000 years ago. This gruesome customer is Xt'tapalatakettle, the god of war."
834,"No, Maggie. Not Az-tec. Ol-mec. Ol-mec."
835,what does it do?
836,It doesn't do anything.
837,"Marge! Really, what does it do?"
838,"Whatever it does, it's doing it now."
839,"Well, I'll let you get acquainted with SeÃƒÂ±or Xt'tapalatakettle. Ta!"
840,"Did you see their faces, Smithers?"
841,"Sir, you're my god of generosity."
842,"Save a guy's life, and whattaya get? Nothin'! Worse than nothin'! Just a big, scary rock."
843,"Hey, man, don't bad-mouth the head."
844,"it's the thought that counts. The moral of this story is, ""A good deed is its own reward."""
845,"Hey, we got a reward. The head is cool!"
846,"Well then, I guess the moral is, ""No good deed goes unrewarded."""
847,"Wait a minute. If I hadn't written that nasty letter, we wouldn't have gotten anything!"
848,"Well... then I guess the moral is, ""The squeaky wheel gets the grease."""
849,Perhaps there is no moral to this story.
850,Exactly. It's just a bunch of stuff that happened.
851,But it certainly was a memorable few days!
852,Amen to that!
853,"Bart... Bart... Hey, Bart."
854,Lisa? It's six a.m. Something's wrong! Dad died!
855,"No, no. He's fine."
856,"Well, what do you know? I'm relieved."
857,my birthday is in two days. I'm gonna be eight years old. It's a big number -- almost double digits.
858,"Well, enjoy it while you can. Everything changes when you hit the big one-oh. Your legs start to go... candy doesn't taste as good anymore --"
859,Lisa did it.
860,will you please let me pour my little heart out?
861,"Sorry, this old timer does ramble on sometimes, don't he?"
862,"I do so much for you and yet you have disappointed me on every one of my birthdays. I've made things for you. But you've lost or broken them in hours... but, okay, we'll forget all..."
863,"Okay, uh-huh. Okay, okay,. Okay, okay, okay okay, it's done! I'm doing it! Birthday gift coming your way!"
864,"Oh, thank you."
865,watch Maggie while I get the laundry.
866,Can do.
867,Hm... Krusty hotline.
868,"Hi kids! You've reached the Krusty Hotline. If you haven't asked your parents' permission, naughty naughty! But Krusty forgives you! Two dollars for the first minute, fifty cents for each additional minute."
869,Thanks for calling kids! A new message every day.
870,I asked you to watch your sister!
871,I tried to stop her but she overpowered me.
872,Who stole my shirt? Who stole my shirt?
873,I washed it.
874,"Oh thank you, Marge -- Pink?"
875,I can't wear a pink shirt to work. Everybody wears white shirts. I'm not popular enough to be different.
876,Now  don't panic. You have plenty of white shirts.
877,"Oh, gimme, gimme, gimme, gimme, gimme!"
878,"Oh no... Pink. Pink! PINK! It's all over, Marge. It's all over."
879,I don't know how this could have happened.
880,"Ah, my lucky red hat. Clean as a whistle!"
881,You! You did this to me!
882,please. No one's going to notice if you wear a pink shirt to work.
883,"Wait a minute, go back. Zoom in. Why is that man in pink?"
884,"Oh, that's Homer  sir. He's one of your boobs from Sector 7-G."
885,"eh? Well, judging by his outlandish attire, he's some sort of free-thinking anarchist."
886,"I'll call security, sir."
887,Excellent. These color monitors have already paid for themselves.
888,Hey  we saved you a doughnut.
889,It has pink frosting!
890,"Mmm, thanks -- It looks... Hey, wait a minute! Just because I'm wearing a pink shirt, it doesn't mean I'm some kind of a... pink doughnut-eater! Although it is tempting --"
891,Drop that doughnut.
892,"Let's go, Pinky."
893,You don't understand... my son just threw his red hat in with the white laundry...
894,Spare me the tired semantics of the Simpson family! Take him away!
895,"You know, Mr. Burns, his body cavity search revealed nothing and we must have x-rayed him a hundred times. Maybe he's telling the truth."
896,"Or perhaps you two are in cahoots. Smithers, I seem to recall you had a penchant for bell-bottom trousers back in '79."
897,"Uh, sir, that was my costume from the plant production of H.M.S. Pinafore."
898,"Oh, yes, of course. Your spirited hornpipe stole the show, as I recall. Now Doctor, what shall we do about our free wheeling fop over here?"
899,"Well, Monty, it used to be that establishing a patient's sanity took months. That's all changed, thanks to the ""Marvin Monroe Take Home Personality Test."" Twenty simple questions that will determine just how crazy or meshuggenah, someone is."
900,Print name?
901,"Honey, do me a favor. Fill out this form."
902,this is an intimate psychological profile. I can't fill this out for you.
903,"All right, all right. I'll get Lisa to do it."
904,you like homework. Could you fill out this form for me?
905,LISA IT'S YOUR BIRTHDAY /
906,"Well, all right -- if you listen to the poem I just wrote."
907,"Meditations on turning eight, by Lisa Simpson. I had a cat named Snowball -- She died, she died! Mom said she was sleeping -- She lied, she lied! Why oh why is my cat dead? Couldn't that Chrysler hit me, instead? I had a hamster named Snuffy -- He died, --"
908,No deal.
909,"Dad, maybe you should do this."
910,"Son, it's no different than the time I let you vote for me. Remember that absentee ballot?"
911,"Oh, yeah."
912,"Our $50,000 Home Video Finalists are: ""Man Breaking Hip."""
913,Dog on Fire. Ruff! Anybody order a hot dog?
914,Look at him!
915,"And finally, ""Baby With A Nail Gun."""
916,"Okay, it's time to cast your votes now."
917,Dog on Fire! Dog on Fire!
918,"Hey, Dad. ""Do you hear voices?"""
919,"Yes, I'm hearing one right now, while I'm trying to watch TV."
920,"Yes. ""Are you quick to anger?"""
921,Bart! Shut up or I'll shut you up!
922,"Yes. ""Do you wet your pants?"" Well, even the best of us has an occasional accident."
923,"So, did I pass?"
924,"Careful, men. He wets his pants."
925,The devil with his fly open.
926,That's a spill on a floor with bugs goin' after it. They're gonna eat it.
927,HAPPY BIRTHDAY LISA /
928,The boy! This isn't fair! How can you tell who's sane and who's insane?
929,"Well, we have a very simple method."
930,Whoever has that stamp on his hand is insane.
931,Put him in with the big white guy who thinks he's a little black guy.
932,Who are you?
933,"Hi. I'm Michael Jackson, from the Jacksons."
934,I'm Homer  from the Simpsons.
935,I can't believe you've never heard of me. I'm a very popular entertainer.
936,"Oh, of course I've heard of you. I mean you'd have to be living under a rock not to know -- what'd you say your name was?"
937,Michael Jackson.
938,Doesn't ring a bell.
939,What was that last one?
940,"Well, how about this? BILLIE JEAN IS NOT MY LOVER / SHE'S JUST A GIRL WHO SAYS THAT I AM THE ONE / BUT THE KID IS NOT MY SON. HEE, HEE, HEE!"
941,Wow. How do you do that thing with your feet?
942,The moonwalk?
943,"No, that thing with your feet."
944,Here look. Just raise your heel a bit and put a little pressure on the ball of your foot.
945,Hee hee hee...
946,You seem like a nice guy. Why'd they put you in here?
947,Because I wore a pink shirt.
948,I understand. People thought I was crazy for the way I dressed.
949,What'd you wear?
950,"One white glove, covered with rhinestones."
951,"in the split second before he died, I bet Scratchy appreciated his birthday present. You see how this relates to us?"
952,"Hey, you want that once a year empty gesture. You got it, sis."
953,"Hey, Michael, I don't get it. These guys seem as normal as you and me."
954,"this is Floyd. He's an idiot savant. Give him any two numbers and he can multiply them in his head, just like that."
955,Okay. Five times nine.
956,"We call this guy the Chief. He's been here since 1968. Never says a word, never moves a muscle."
957,"Hey, Chief."
958,"Well, it's about time somebody reach out to me."
959,"Gee, I gotta call my family."
960,"Oh, this is so embarrassing, calling 'em from a nut house. I mean, they think I'm a god."
961,I could call them for you.
962,"Oh great! And uh, try to put a good face on this. Tell them this is one of those places where rich women lose weight."
963,"Joe's Crematorium. You kill 'em, we grill 'em."
964,Hello. Who is this?
965,I'm Bart  who the hell are you?
966,I'm Michael Jackson.
967,The Michael Jackson? No way!
968,"It's true. I'm with your father, in a mental institution."
969,Uh-huh. And is Elvis with you?
970,He could be. It's a big hospital.
971,"Aw, come on. If you're really Michael Jackson, who were your last four dates for the Grammys?"
972,"Brooke Shields, Diana Ross, Emmanuel Lewis and Bubbles."
973,"Shiver me timbers, you are Michael Jackson. Can you stay on the line while I get all my friends and relatives?"
974,"I'm afraid not, Bart. Your father really needs your help. You don't want him to get a lobotomy, do you?"
975,"Hmmmm, lobotomy..."
976,"That's all right, son."
977,"Well, there's probably a down-size I don't see. Uh-huh... New Bedlam Asylum... loves us... needs us... fears he may never see us again... Got it... Michael Jackson. Whoo-hoo! I love you, man."
978,"Hey Mom, Dad's in a mental institution."
979,Oh my God! Mother was right.
980,Now  don't you worry. Your family's gonna be here before you know it.
981,"Forget it, pal, there's only one way out of here and it ain't pretty."
982,Dating a nurse.
983,I told you kids you were going to send your father to the crazy house.
984,"No, mom, you said poor house."
985,I said crazy house!
986,Poor house.
987,Crazy house!
988,"Hello, you've reached the New Bedlam ""Wrongly Committed"" Hotline. All of our operators are currently busy. Please stay on the line."
989,"What's wrong, Homer?"
990,"This place is so strange. Mike, I'm ashamed to admit it to another guy, but I'm... scared."
991,We all get scared once in a while. Maybe I can help you.
992,"HOMER, THE TWO OF US NEED LOOK NO MORE / WE BOTH FOUND WHAT WE WERE LOOKING FOR / WITH A FRIEND TO CALL MY OWN / I'LL NEVER BE ALONE / AND YOU MY FRIEND WILL SEE / YOU'VE GOT A FRIEND IN ME."
993,Pancakes... football... Boobies...
994,"Bubbles, it's gonna be a long night."
995,I WISH YOU LOVE AND GOOD WILL / I WISH YOU PEACE AND JOY /
996,Please feel free to express yourselves. In these sessions we want you to feel relaxed and uninhibited.
997,"Okay, so I was working at an insurance company, right? Huh! Youngest VP in the history of the firm. Okay? The job was my life. Then one Monday morning, I got up and I couldn't leave the house. I just couldn't."
998,Was the door locked?
999,"No, I just couldn't face what was out there."
1000,Was it raining?
1001,"No, Homer. Dave suffers from agoraphobia -- a fear of open areas and crowds. Please, Dave, go on."
1002,"Thank you. Anyway, that day I knew I-I just couldn't make that long drive to work."
1003,Were you out of gas?
1004,"Mrs.  I'm sorry but your husband suffers from a persecution complex, extreme paranoia, and bladder hostility."
1005,"Doctor, if you just talked to him for five minutes without mentioning our son,  you'd see how sane he is."
1006,You mean there really is a Bart? Good Lord!
1007,Mmm... pancakes.
1008,"Oh, Mr.  you've got a visitor."
1009,"Oh, Homie."
1010,"Mr.  after talking to your wife, we believe you're no threat to yourself or others."
1011,"That's the most flattering thing anyone has ever said to me. Could I have it in writing, please?"
1012,Of course.
1013,Not insane.
1014,"I'm proud of you, Homer."
1015,"Thanks a lot, Michael. You really helped me get through this. If you ever find your marbles, come visit us."
1016,"Well, how about today? I'm only here voluntarily."
1017,You are? Why?
1018,"Well, back in 1979, I got real depressed when my ""Off the Wall"" album just got one lousy Grammy nomination."
1019,"HAPPY BIRTHDAY TO ME / HAPPY BIRTHDAY TO ME / HAPPY BIRTHDAY, OVERLOOKED MIDDLE CHILD -- HAPPY BIRTHDAY TO ME."
1020,"Joe's Taxidermy. You snuff 'em, we stuff 'em."
1021,"Boy, when I get home, I'm going to wrap my hands around your neck --"
1022,"whatever they've got you on, cut the dose."
1023,"Now listen. I'm bringing Michael Jackson home to stay with us for a few days... Isn't that cute -- he's heard of you! Now, make sure we have plenty of cold cuts, and put some beer on ice."
1024,Um  I'm a vegetarian. And I don't drink.
1025,Are you sure you're here voluntarily?
1026,Yes. Now  please make sure he doesn't tell anybody I'm coming.
1027,"Yes Dad, I solemnly swear I will not tell another living soul... No, not even Milhouse."
1028,"Hello, Milhouse? Can you keep a secret?"
1029,"Oh well, who cares. Michael Jackson is coming to my house!"
1030,Michael Jackson!
1031,Aunt Bella! Wait a minute. I got a call on the other line. Michael Jackson!
1032,We've just been handed a bulletin from our Rock 'N' Rumor Department.
1033,"That's right, Michael Jackson -- the Thriller himself -- is moonwalkin' his way right here to our very own Spring- field!"
1034,"And while we go check it out, why don't you enjoy our seldom heard, extra longggg version of ""In-a-Gadda-da-Vida."""
1035,Michael Jackson! Oh such a thing happens once in a blue moon. Do I dare to leave my post?
1036,Aye carumba!
1037,"This is the most exciting thing to happen to our fair town since the uh Dalai Lama visited in 1952. And so, I hereby declare that Route 401, currently known as the Dalai Lama Expressway, will henceforth be known as the Michael Jackson Expressway."
1038,"And the guy in the pink shirt is the father of the family who, it turns out, was just released from a mental hospital."
1039,Thanks everybody! It's great to be sane.
1040,Here he is! Here's the guy you wanna see.
1041,Huh? Huh?
1042,He's three hundred pounds.
1043,He's white.
1044,He's dressed without flair.
1045,What the hell made me think Michael Jackson would even visit this jerkwater burg?
1046,You owe us Michael Jackson.
1047,"Don't ever show your face around here again, ya tool."
1048,"the entire town is howling for your blood, and before I join them I have one question: Today is my birthday -- you promised to get me something, and... and I'm afraid to ask."
1049,"You know, maybe you should trust that instinct and not ask."
1050,"I thought so. Oh,  you..."
1051,Come off. I'm sane now.
1052,"Dear  I am using the stationery Mom and Dad gave me for my birthday to inform you that we are now brother and sister in name only. Perhaps if a professional so advises, I will give you a hug at some far distant family reunion, but rest assured it will be purely for show."
1053,"Hey, Bart."
1054,Hey... you.
1055,I WISH YOU BETTER THAN YOUR HEART DESIRE /
1056,"when I was a kid, I didn't have much money. So you know what I did when my sisters' birthdays rolled around?"
1057,Stiffed 'em?
1058,No. I wrote them a song. To show that I cared.
1059,I can't write a song. I'm only ten.
1060,Only ten? When I was your age I had six gold records.
1061,"Hey, Looney Tunes, this is what Michael Jackson looks like. You look like a big fat mental patient."
1062,You'd be amazed how often I hear that.
1063,Just leave me alone.
1064,"Look boy, either Michael Jackson is some guy working in a recording studio in LA or he's here with you willing to work on this song. It's your choice. So long."
1065,"Wait, wait, Michael! You go sit at the piano and I'll boil some coffee."
1066,"LISA, HER TEETH ARE BIG AND GREEN / LISA, SHE SMELLS LIKE GASOLINE / LISA, DA DA DA DEESA / SHE IS MY SIS-TA, HER BIRTHDAY I MISSED-TA."
1067,"Uh, no."
1068,we've got to get to your real feelings about your sister.
1069,I don't have any.
1070,"Well, let's go look at her. Maybe that will help."
1071,"Ah, she looks sad."
1072,That's cause she knows you're looking at her.
1073,"Although I am aware you are looking at me, I would look exactly the same even if you weren't."
1074,think. What happens to you when you turn eight?
1075,"Well, your training wheels come off your bike."
1076,"Good. That's good. THE TRAINING WHEELS COME OFF YOUR BIKE / YOU START TO NOTICE BOYS YOU LIKE...HEE, HEE, HEE."
1077,You're just putting that in because it's commercial.
1078,Lisa... Lisa... Lisa.
1079,Huh... wha--  it's six a.m.
1080,"That's right! Hope you like your present. And a-one, and a-two, and a one, two, three, four --"
1081,LI-SA IT'S YOUR BIRTHDAY / AND GOD BLESS YOU THIS DAY / YOU GAVE ME THE GIFT OF A LITTLE SISTER / AND I'M PROUD OF YOU TODAY...
1082,AND YOUR FIRST KISS FROM A BOY...
1083,LISA IT'S YOUR BIRTHDAY / HAPPY BIRTHDAY LISA /
1084,LISA IT'S YOUR BIRTHDAY / HAPPY BIRTHDAY LISA...
1085,"Oh! This is the best present I ever got. Thank you, Bart. Thank you Michael."
1086,"Well, my work is done here."
1087,"Hey, Michael. What happened to your voice?"
1088,"This is my real voice. My name is Leon Kompowski and I'm a brick layer from Patterson, New Jersey. All my life I was very angry until one day I just talked like this. All of a sudden everybody was smiling at me, and I was only doin' good on this earth, so I kept on doin' it. To make a tired point. Which one of us is truly crazy?"
1089,Not me. I got this.
1090,"Bye, bye, Leon / Bye, roomie / Bye, Pardner / You're a credit to Dementia!"
1091,See ya!
1092,LISA IT'S YOUR BIRTHDAY / GOD BLESS YOU THIS DAY / YOU GAVE-A ME THE GIFT-A DA DOO DA DEE DEE DOO DOO / AND I'M A PROUD OF YOU TODAY!
1093,LISA IT'S YOUR BIRTHDAY / HAPPY BIRTHDAY LISA / LISA IT'S YOUR BIRTHDAY / HAPPY BIRTHDAY LISA...
1094,I WISH YOU BETTER THAN YOUR HEART'S DESIRE /
1095,"Take it away, Lis."
1096,"Stupid junk mail... ""You May Have Already Won!"" Yeah, win this... ""Here's Good News for Homer Simpsoy""... I'll see that he gets it. How dumb do they think I am?"
1097,Huh? A check?
1098,"Mr.  I can assure you this ""check"" of yours is non-negotiable."
1099,"Oh yeah? Well, what makes you so damn sure?"
1100,"You see where it says ""VOID-VOID-VOID"" and ""This Is Not A Check""? ""Cash value one twentieth of a cent""? ""Mr. Banker, do not honor."""
1101,Shut up.
1102,I had a feeling it was too good to be true. Every time you get a million dollars something queers the deal.
1103,I don't think real checks have exclamation points.
1104,"Well, at least we got a free sample of Reading Digest."
1105,I never read a magazine in my life and I'm not gonna start now.
1106,"Hey, a cartoon."
1107,"""Well dear, you always wanted a compact."" -- Ain't it the truth."
1108,"No, it is not the truth, Homer. It's well documented that women are safer drivers than men."
1109,"Oh, Marge. Cartoons don't have any deep meaning. They're just stupid drawings that give you a cheap laugh."
1110,"Hey, Einstein. Put down your readin', it's lunchtime."
1111,"Nah, you go ahead."
1112,"Hey, You don't wanna eat? What'd ya do, get one of them stomach staples?"
1113,"As Tolstoy said in ""Quotable Notables,"" ""Give me learning, sir, and you may keep your black bread."""
1114,"Who is that bookworm, Smithers?"
1115,Homer  sir.
1116,eh? How very strange. His job description clearly specifies an illiterate.
1117,"We now return to Troy McClure and Delores Montenegro in ""Preacher with a Shovel."""
1118,"But irrigation can save your people, Chief Smiling Bear."
1119,look at them staring at that idiot box. God forbid they would ever read something and improve their minds.
1120,You've certainly taken a shine to that magazine.
1121,"Ooh... How about the ""V""?"
1122,"It's not just one magazine, Marge. They take hundreds of magazines, filter out the crap, and leave you with something that fits right in your front pocket."
1123,Those kids don't know what they're missing.
1124,"Hey, what gives, man?"
1125,We're all gonna sit down as a family and listen to an inspiring story of wilderness survival.
1126,Then I heard the sound that all Arctic explorers dread: The pitiless bark of the sea lion. He'll be killed!
1127,he obviously got out alive if he wrote the article.
1128,Don't be so...
1129,"Oh, you're right."
1130,Homie... Put down your magazine for a minute...
1131,I thought you might want to snuggle.
1132,"That reminds me! ""Seven Ways To Spice Up Your Marriage."""
1133,"you have a nice body. And if you'd like to see me in a costume, you have only to ask."
1134,"Thank you, Homie."
1135,"Wow, little meatloaf men!"
1136,"Where did you get the idea for this, Mom?"
1137,Where do you think? This baby never steers you wrong. And it was free. Free!
1138,It certainly has enriched our lives.
1139,"Wow! ""Win a Trip to Washington D.C.""! ""All expenses paid... VIP tour""... Oh. It's for kids."
1140,"Wait, Dad!"
1141,"Hm. An essay contest. ""Children under twelve""... ""Three hundred words""... ""Fiercely pro-American."" Sounds interesting."
1142,"maybe this is something you'd like to do, too."
1143,"Mom, it's a nice thought, but we both know that this is the pony to bet on."
1144,"What would Ben Franklin say if he were alive today? He'd say... oh, think of a better opening."
1145,"How's it going, honey?"
1146,Not very well.
1147,Ooh... And Miss? Just one more question --
1148,"Well, when I used to get stuck like this, I'd go for a bike ride. Do kids go on bike rides anymore?"
1149,"I don't know, I thought maybe bikes weren't cool anymore. Do kids still use that word, ""cool""?"
1150,"Yes, Mom."
1151,"Okay, America. Inspire me."
1152,"Wow, a bald eagle."
1153,"Thanks for driving me to the contest, Dad."
1154,"Sweetheart, there's nothing I wouldn't do for that magazine."
1155,"""So burn the flag if you must. But before you do, you'd better burn a few other things. You better burn your shirt and your pants. Be sure to burn your TV and car. Oh yes, and don't forget to burn your house. Because none of those things could exist without six white stripes, seven red stripes, and a hell of a lotta stars."" Thank you very much."
1156,YEAH! Damn right!
1157,Recipe for a free country: Mix one cup liberty with three teaspoons of justice. Add one informed electorate. Baste well with veto power...
1158,My back is spineless. My belly is yellow. I am the American Non-Voter...
1159,... Stirring two cups of checks. Sprinkle liberally with balances...
1160,"Ding. ""Dong."" The sounds of the Liberty Bell. ""Ding."" Freedom. ""Dong."" Opportunity. ""Ding."" Excellent schools. ""Dong."" Quality hospitals..."
1161,"When America was born on that hot July day in 1776, the trees in Springfield Forest were tiny saplings, trembling towards the sun. And as they were nourished by Mother Earth, so too did our fledgling nation find strength in the simple ideals of equality and justice. Who would have thought such mighty oaks, or such a powerful nation, could grow out of something so fragile... so pure. Thank you."
1162,What do you think?
1163,It's good. A little too good for an eight-year-old. Methinks I detect the sickly scent of the daddy.
1164,Mr.  I'd like to ask you a few questions about your daughter's essay.  will you excuse us?
1165,We the purple? What the hell was that?
1166,Are you a professional writer?
1167,Are you interested in politics or government?
1168,Are you interested in anything?
1169,Could you touch your nose for me?
1170,"after meeting your father, I've decided to award you an additional five points. Congratulations. You and your family are going to Washington!"
1171,Woo hoo! Who would've guessed reading and writing would pay off?
1172,"Yes, sir. Can I get you something?"
1173,"Playing cards, notepad, aspirin, sewing kit, pilot's wing pin, propellor-shaped swizzle stick, sleeping mask and anything else I've got coming to me."
1174,I'll see what I can do.
1175,"Little boy, I bet you'd like to visit the cockpit."
1176,Oh baby!
1177,"And this control stick is like the handlebars on your tricycle. Now, would you like to see where we hang our coats?"
1178,"No thank you, I'd rather push this button."
1179,We're all gonna die!
1180,"Look,  that guy has the same last name we do... Taxi!"
1181,"Oooh, look, Homer. The IRS."
1182,"Oh, boo yourself!"
1183,"Here we are, kids! The Watergate."
1184,Uh... okay.
1185,"look! They give you a shower cap, and body gel and bathrobes... Ooh, and a welcoming mint on your pillow."
1186,Wowww -- A shoehorn! Just like in the movies!
1187,"Shoe goes on, shoe goes off. Shoe goes on, shoe goes off. Shoe goes on, shoe goes off."
1188,"Hey, I call first bedsies!"
1189,Bart! There's no such thing as first bedsies. You just made that up.
1190,"Well, okay, which one do you want?"
1191,Iiiiiii Waaaaaannt... That one.
1192,"Really, you want that one? It's all yours. Whatever you say."
1193,Why? What's wrong with it?
1194,"Nothing! Have a good night's sleep, Lisa."
1195,"No, really, what?"
1196,What did you do to it?
1197,Stupid welcoming mint! Y'ello.
1198,Good morning. This is your wake-up call.
1199,Wake-up call? It's two AM!
1200,Sorry fatso.
1201,Free food?!
1202,"Lisa? I'm Faith Crowley, Patriotism Editor of Reading Digest."
1203,"Ooh! I love your magazine. My favorite section is ""How To Increase Your Word Power."" That thing is really, really, really good."
1204,Well... good.
1205,I'd like you to meet some of the other finalists. This is Truong Van Dinh and Maria Dominguez.
1206,"Maria is the national spelling bee champion, and Truong has won both the Westinghouse Talent Search and the NFL Punt, Pass and Kick Competition."
1207,Have either of you ever run into any problems because of your superior ability?
1208,"Sure, I guess."
1209,"Ah, me too!"
1210,These are special VIP badges. They'll get you into places other tourists never see.
1211,"Miss? What does the ""I"" stand for?"
1212,"Ah! What does the ""I"" stand for again?"
1213,"""On this spot, Richard Nixon bowled back-to back-300 games."""
1214,"Yeah, right."
1215,"Wow, the President's bathroom!"
1216,Do you mind?!
1217,Barbara Bush.
1218,"Oh, you have those damn badges. Okay, this tub was installed in 1894..."
1219,Mmmmmm... Money.
1220,"Hey, watch it, chief!"
1221,"Folks, we print more than eighteen million bills a day. Oh, and in case you were wondering... no we, we don't give out free samples."
1222,Lousy cheap country...
1223,BART! Get out of the Spirit of St. Louis!
1224,"Hey, what's so funny?"
1225,Oh  grow up.
1226,"Congressman, this is Springfield National Forest."
1227,"Now basically, what we want to do is cut her down."
1228,Huh uh.
1229,"As you can see in our artist's rendition it's full of old growth, just aging and festering away. In comes our logging company... to thin out the clutter. It's all part of nature's, y'know, cycle."
1230,"Well Jerry, you're a whale of a Lobbyist And I'd like to give you a logging permit. I would, but uh, this isn't like burying toxic waste. People are gonna notice those trees are gone."
1231,"Uh, Congressman... this is where it gets awkward, I... I never quite know how to put this... I just want to..."
1232,...Offer me a bribe?
1233,Ohhh... What is it?
1234,It's that little girl from Springfield who wrote the essay. Could be a good photo op.
1235,"Uh, sure, fine."
1236,"So, where do we..."
1237,Not here. I've got a little place that I use for these uh... matters. Call me tonight.
1238,Well hi there! You must be Lisa Simpson.
1239,"Hello, sir."
1240,"you're a doer. And who knows, maybe some day you'll be a congressman or a senator. We have quite a few women senators, you know."
1241,Only two. I checked.
1242,"You're a sharp one. Well, how about a few pictures?"
1243,A tot shot always plays in the sticks.
1244,"Ah, isn't that nice. Now, there is a politician who cares."
1245,"If I ever vote, it'll be for him."
1246,the contest isn't for three hours.
1247,I'm too excited to sleep. Anyone up for the Winifred Beecher Howe Memorial?
1248,Who's that?
1249,An early crusader for women's rights. She led the Floormop Rebellion of 1910. Later she appeared on the highly unpopular 75 cent piece.
1250,"Okay, but you don't know what you're missing."
1251,"""I will iron your sheets when you iron out the inequities in your labor laws."" Amen, sister."
1252,I told you no one ever came here.
1253,"So, Bob, where do we stand on Springfield Forest? Do I get my logging permit?"
1254,"Well, let me put it this way, Jerry... Tim-berrr!"
1255,"Ugh, what a pooch."
1256,Woof woof!
1257,How could I read my essay now? I don't believe my own words.
1258,Honest Abe. He'll show me the way.
1259,"Mr. Lincoln, I..."
1260,"Mr. Lincoln, I need your advice. What can I do to make this a better country?"
1261,Is this a good time to buy a house?
1262,I can't get my boy to brush proper.
1263,Would I look good with a moustache?
1264,"...So I tries usin' turpentine, but that jes' made it worse..."
1265,"Mr. Lincoln, my name is Lisa  and I have a problem."
1266,"Mr. Jefferson, my name is Lisa  and I have a problem."
1267,"I know your problem, the Lincoln Memorial was too crowded."
1268,"Sorry, sir. It's just that..."
